Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,599825400,7695.455695567847,4431817,56.85796462497992,644248,6469458,82.99986531636868,13079,0.16779693731264425,1866,
United States of America,Americas,93060268,28114.659,557553,168.444,91651,1033467,312.223,2646,0.799,230
India,South-East Asia,44428393,3219.439,60198,4.362,7231,527874,38.252,422,0.031,45
Brazil,Americas,34397205,16182.395,106123,49.926,12458,683622,321.615,951,0.447,128
France,Europe,33493980,51498.017,114564,176.146,27358,150523,231.434,320,0.492,72
Germany,Europe,32145157,38651.471,203264,244.405,35245,147404,177.239,57,0.069,6
The United Kingdom,Europe,23493327,34607.026,2215,3.263,0,187761,276.583,0,0,0
Republic of Korea,Western Pacific,23246398,45341.852,657848,1283.126,103919,26764,52.203,540,1.053,75
Italy,Europe,21845943,36628.769,149701,251.001,31087,175505,294.267,574,0.962,98
Russian Federation,Europe,19528969,13382.013,307367,210.62,46321,384346,263.369,588,0.403,92
Japan,Western Pacific,18772004,14842.291,1252756,990.505,139582,39564,31.282,1970,1.558,311
Türkiye,Europe,16671848,19767.646,0,0,0,100400,119.043,0,0,0
Spain,Europe,13342530,28188.872,18746,39.605,9554,112600,237.891,354,0.748,146
Viet Nam,Western Pacific,11408952,11720.894,19684,20.222,3241,43117,44.296,11,0.011,4
Australia,Western Pacific,10018025,39286.551,84231,330.319,12187,13834,54.251,374,1.467,75
Argentina,Americas,9678225,21414.004,19834,43.885,0,129711,286.998,65,0.144,0
Netherlands,Europe,8385110,48169.289,7735,44.435,1289,22599,129.823,12,0.069,1
Iran (Islamic Republic of),Eastern Mediterranean,7527499,8962.061,13570,16.156,1871,143820,171.229,315,0.375,44
Mexico,Americas,7014510,5440.441,10328,8.01,0,329390,255.474,69,0.054,0
China,Western Pacific,6401517,435.096,208825,14.193,34699,24806,1.686,281,0.019,40
